episode,robot_pos,target_pos,step
132,"[287.36932822394107, 147.70852708793475, 94.0]","[295, 141]",198
133,"[75.24350756350917, 114.98880348470908, 52.0]","[76, 105]",1437
134,"[413.78550550131155, 275.05198899850967, 40.0]","[413, 265]",369
135,"[251.4298081744364, 413.34308882516154, 78.0]","[257, 405]",308
136,"[573.7348334262421, 295.44326847811413, 160.0]","[583, 300]",1047
137,"[428.0772795331047, 483.59745348440623, 310.0]","[418, 484]",854
138,"[279.81444879427914, 190.27639490322443, 352.0]","[272, 184]",1057
139,"[122.67585360319568, 362.3807135707673, 348.0]","[114, 357]",1391
140,"[430.7460559596665, 531.5260966441334, 248.0]","[427, 541]",1019
141,"[479.2656318112591, 157.23941062931038, 304.0]","[469, 159]",223
142,"[148.86921149285075, 498.8321802033561, 98.0]","[157, 493]",112
143,"[65.39883538735482, 537.8958039386417, 336.0]","[56, 534]",885
144,"[210.32977945350382, 479.79060833730324, 324.0]","[200, 478]",1269
145,"[239.19085255533994, 220.24899046651436, 32.0]","[237, 210]",995
146,"[534.0613096941886, 530.5524899710537, 174.0]","[542, 537]",514
147,"[508.9066721026634, 172.27076187514578, 24.0]","[505, 163]",577
148,"[262.5558829871278, 370.3921558702526, 76.0]","[268, 362]",65
149,"[129.152640000961, 405.88692932923095, 324.0]","[119, 404]",991
150,"[454.88494714424786, 313.7951614175914, 216.0]","[456, 324]",963
151,"[655.1595129155212, 205.91652705659752, 196.0]","[660, 215]",643
152,"[104.33239860892328, 372.5530013729598, 306.0]","[94, 374]",294
153,"[684.1759590712961, 217.34468039708756, 150.0]","[694, 220]",96
154,"[725.1233976749064, 80.9734237779429, 146.0]","[735, 83]",1254
155,"[724.4946344109551, 473.8058512242898, 260.0]","[718, 482]",617
156,"[586.8285600241414, 293.2822818393839, 204.0]","[590, 303]",561
157,"[738.3559079443222, 364.9683308023695, 198.0]","[743, 374]",1328
158,"[509.6554115810802, 375.64359679346603, 222.0]","[510, 386]",1106
159,"[653.096303368445, 117.0637498924888, 148.0]","[663, 119]",933
160,"[521.6885661136041, 264.03813598478604, 296.0]","[512, 267]",433
161,"[178.0925645074077, 113.1808969825716, 42.0]","[178, 103]",494
162,"[131.24825278400158, 76.66585868516998, 102.0]","[140, 71]",256
163,"[226.42315226369507, 282.7938922277788, 338.0]","[217, 279]",886
164,"[617.735127561322, 399.3920534374137, 272.0]","[610, 406]",555
165,"[176.76959109677142, 328.5410003467812, 326.0]","[167, 326]",876
